Longitude,Latitude,FireCause,County,FireDiscoveryDate,FireDiscoveryTime,FireOutDate,FireOutTime,State
-98.5711743529999,26.83667116,Undetermined,Jim Hogg,2016/08/07,20:36:59+00,2016/08/09,20:00:00+00,TX
-94.759590214,30.5845720470001,Human,Polk,2016/08/12,19:12:59+00,2016/08/12,20:47:00+00,TX
-98.1974558859999,32.939707706,Natural,Palo Pinto,2019/10/06,23:00:21+00,2019/10/10,22:01:00+00,TX
-97.943674433,32.113505563,Undetermined,Erath,2017/12/13,20:47:00+00,2017/12/18,23:00:00+00,TX
-99.6154080219999,28.852704874,Human,Zavala,2019/09/19,19:41:05+00,2019/09/22,22:10:44+00,TX
-97.514470144,31.6219849340001,Unknown,McLennan,2018/07/16,23:59:18+00,2018/07/24,19:35:10+00,TX
-96.0433072769999,31.806805581,Human,Freestone,2015/08/31,21:59:59+00,2015/09/01,16:09:59+00,TX
-94.814481985,32.243549049,Unknown,Rusk,2018/08/17,00:17:00+00,2018/08/21,20:04:04+00,TX
-94.5547292049999,33.3605615010001,Human,Bowie,2020/01/05,20:42:59+00,2020/01/06,22:25:18+00,TX
-99.308608167,33.0410056750001,Unknown,Throckmorton,2019/10/16,15:38:42+00,2019/10/18,17:35:45+00,TX
-94.247706751,30.5605054000001,Human,Tyler,2015/10/20,17:35:59+00,2015/10/20,22:41:59+00,TX
-95.2543736539999,30.200571951,Human,Montgomery,2017/11/03,18:08:59+00,2017/11/03,20:35:00+00,TX
-95.8887405949999,32.2535890080001,Unknown,Henderson,2018/08/07,23:39:59+00,2018/08/09,16:23:23+00,TX
-94.136023413,31.199488864,Human,San Augustine,2017/09/24,20:54:00+00,2017/09/24,22:34:59+00,TX
-95.4498237889999,31.7477555930001,Human,Anderson,2019/04/10,19:02:59+00,2019/04/15,16:00:47+00,TX
-94.8339070119999,32.637072453,Human,Upshur,2017/12/03,21:33:59+00,2017/12/04,22:18:59+00,TX
-99.9890082049999,30.829005239,Unknown,Menard,2019/08/27,04:19:55+00,2019/08/29,22:06:25+00,TX
